Departamento,Fechas,Lugar,Festividades
Ayacucho,12 al 16 de setiembre,Huamanga,Fiesta del Señor de Quinuapata
Ayacucho,14 de setiembre,Lucanas,Fiesta de agua
Ayacucho,24 de setiembre,Cangallo,Fiesta de la Virgen de las Mercedes
Ayacucho,4 de octubre,Parinacochas,Fiesta patronal de San Francisco
Ayacucho,1 de noviembre,Huamanga,Celebración de Todos los Santos
Ayacucho,7 de noviembre,Ayacucho,Día del folclor ayacuchano
Ayacucho,8-10 de diciembre,"Huamanga, Ayacucho","Aniversario de la batalla de Ayacucho y danza
del tusuy y nichik"
Ayacucho,8 de diciembre,"Huamanga, Sucre",Fiesta de la Inmaculada Concepción
Cajamarca,20 de enero,Cajamarca,Festival de San Sebastián
Cajamarca,15-21 de febrero,Cajamarca,Fiestas de carnavales
Cajamarca,Marzo-abril,"Áncash, Cajamarca",Semana Santa
Cajamarca,27 de abril,Tayabamba,Fiesta de Santo Toribio de Mogrovejo
Cajamarca,1 de mayo,Cajamarca,Fiesta de San José Obrero
Cajamarca,3 de mayo,"Cajabamba, Celendín, Chota, San Pablo",Fiesta de las Cruces
Cajamarca,15 de mayo,"Contumazá, Chota, San Marcos",Fiesta de San Isidro Labrador
Cajamarca,Junio,"Huancabamba, Cajamarca",Corpus Christi
Cajamarca,10 de junio,Celandín,El Padre Eterno
Cajamarca,16 de junio,Contumazá,Fiesta de la Santísima Trinidad
Cajamarca,24 de junio,"Chota, Cutervo, San pablo, Pallasca, Huánuco",Fiesta de San Juan
Cajamarca,29 de junio,Cajamarca,San Pedro y San Pablo
Cajamarca,6 de julio,Chota (Lajas),Festividad de San Antonio
Cajamarca,10 de julio,Chota (Chimbán),San Pedro
Cajamarca,16-22 de julio,"Cajabamba, Celendín, Hualgayoc",Fiesta de la Virgen del carmen
Cajamarca,25 de julio,San marcos (Paucamarca),Fiesta patronal de San José
Cajamarca,25 de julio,"Cajamarca, Chota",Fiesta del Apóstol Santiago
Cajamarca,4° semana de julio,Cajamarca,Feria agropecuaria
Cajamarca,28 de julio,Contumazá,Fiesta del Apóstol Santiago
Cajamarca,31 de julio,San Ignacio,Fiesta patronal de San Ignacio de Loyola
Cajamarca,3 de agosto,Cajamarca,Día de los Niños
Cajamarca,15 de agosto,Chota,La Virgen de Asunción
Cajamarca,20 de julio,Contumazá,Aniversario de la provincia
Cajamarca,28 de agosto,Celendín (Oxamarca),Fiesta de San Agustín
Cajamarca,15 de agosto,Chota,La Virgen de Asunción
Cajamarca,28 de agosto,Celendín (Oxamarca),Fiesta de San Agustín
Cajamarca,1 de setiembre,Hualgayoc,La Virgen del Carmen
Cajamarca,4 de setiembre,Chota,Fiesta de San Francisco
Cajamarca,8 de setiembre,Baños del Inca,Fiesta del Wanchaco
