Departamento,Título,Resumen,Sección,Fecha,Enlace
Áncash,"Tragedia en Áncash: 6 fallecidos, 25 heridos y 17 desaparecidos tras caída de bus a río",El terrible accidente ocurrió en el kilómetro 120 de la carretera Longitudinal de Conchucos. Entre los fallecidos se encuentra el chofer de la un...,Perú,03/01/2025,https://elcomercio.pe/peru/ancash-6-fallecidos-25-heridos-y-17-desaparecidos-tras-caida-de-bus-a-rio-pacosbamba-accidentes-de-transito-ultimas-noticia/
Áncash,Navidad: un sismo de magnitud 3.5 remeció la región Áncash,Las autoridades locales no han reportado daños materiales ni víctimas por este fenómeno.,Ancash,25/12/2024,https://elcomercio.pe/peru/ancash/navidad-sismo-de-magnitud-35-remecio-la-region-ancash-temblor-felices-fiestas-christmas-feliz-navidad-noche-buena-ultimas-noticia/
Áncash,Accidente en Áncash: dos heridos tras choque frontal entre auto y mototaxi,"Un auto y una mototaxi impactaron de manera violenta en la carretera Yungay-Huaraz, en Áncash. Los conductores de ambos vehículos resultaron heri...",País,02/12/2024,https://elcomercio.pe/videos/pais/accidente-en-ancash-dos-heridos-tras-choque-frontal-entre-auto-y-mototaxi-policial-nnav-video-tvpe-noticia/
Áncash,"Focos de Calor en Perú: Amazonas, Cajamarca y Áncash son las regiones más afectadas por el riesgos de incendios","Los focos de calor se han identificado en múltiples provincias a nivel nacional, según SERFOR.",Perú,19/11/2024,https://elcomercio.pe/peru/focos-de-calor-en-peru-amazonas-cajamarca-y-ancash-son-las-regiones-mas-afectadas-por-el-riesgos-de-incendios-serfor-ultimas-noticia/
Áncash,Áncash: ataque armado en taller mecánico deja 3 muertos y 2 heridos en Nuevo Chimbote,"Mientras celebraban un cumpleaños en un taller mecánico de Nuevo Chimbote, un grupo de cinco personas fue atacado por sicarios.",Perú,13/11/2024,https://elcomercio.pe/peru/ancash-ataque-armado-en-taller-mecanico-deja-3-muertos-y-2-heridos-en-nuevo-chimbote-ultimas-noticia/
Apurímac,"Cuando el fútbol también enseña quechua, rompe brechas y cambia vidas: así funciona la ONG que forma a niños y niñas en Cusco y Apurímac","Con un programa sin precedentes, la ONG Sinkumunchis rompe barreras en comunidades altoandinas y acerca el fútbol a niños, niñas y adolescentes e...",Historias,19/06/2025,https://elcomercio.pe/somos/historias/fundacion-sinkumunchis-cuando-el-futbol-tambien-ensena-quechua-rompe-brechas-y-cambia-vidas-asi-funciona-la-ong-que-forma-a-ninos-y-ninas-en-cusco-y-apurimac-noticia/
Apurímac,OEFA instala cuatro estaciones de monitoreo de calidad del aire en Apurímac y Chosica,"Estas cuatro nuevas estaciones se integran a la red nacional de vigilancia ambiental del OEFA, que ahora cuenta con 39 estaciones ubicadas estrat...",Sucesos,17/06/2025,https://elcomercio.pe/lima/sucesos/oefa-instala-cuatro-estaciones-de-monitoreo-de-calidad-del-aire-en-apurimac-y-chosica-noticia/
Apurímac,La BNP lanza sus retablos lectores en cuatro colegios de Apurímac en el Día de las Lenguas Originarias,"Más de 1,000 estudiantes y 500 ciudadanos de las provincias de Andahuaylas y Chincheros acceden por primera vez a bibliotecas abiertas con libros...",Sucesos,27/05/2025,https://elcomercio.pe/lima/sucesos/la-bnp-lanza-sus-retablos-lectores-en-cuatro-colegios-de-apurimac-en-el-dia-de-las-lenguas-originarias-noticia/
Apurímac,Vraem: buscan cuerpo de niña de 3 años arrastrada por el río Apurímac,"La menor desapareció mientras su familia se refrescaba cerca de los juegos acuáticos en el distrito de Kimbiri, Cusco.",Cusco,05/05/2025,https://elcomercio.pe/peru/cusco/vraem-buscan-cuerpo-de-nina-de-3-anos-arrastrada-por-el-rio-apurimac-emergencia-ultimas-noticia/
Apurímac,Congreso: aprueban medidas para acelerar proyecto del corredor vial Apurímac-Cusco,"Con 100 votos a favor, 1 en contra y 4 abstenciones fue aprobada la iniciativa que se sustentada en el Proyecto de Ley 10611/2024-PE.",Perú,30/04/2025,https://elcomercio.pe/peru/corredor-vial-apurimac-cusco-congreso-aprueban-medidas-para-acelerar-proyecto-ultimas-noticia/
