Departamento,Festividad,Título del Video,URL
Ancash,"El Señor de Mayo y la Exaltación
de la Santísima cruz",PROCESIÓN EN HONOR AL SEÑOR DE LA EXALTACIÓN DE LA SANTA CRUZ,https://www.youtube.com/watch?v=srkhI-Kg9CQ&pp=ygVERWwgU2XDsW9yIGRlIE1heW8geSBsYSBFeGFsdGFjacOzbmRlIGxhIFNhbnTDrXNpbWEgY3J1eiBBbmNhc2ggUGVyw7o%3D
Ancash,Fiesta Patronal del Señor de Cahucayán,FESTIVIDAD EN HONOR AL SEÑOR DE CAYAC. AQUIA - BOLOGNESI - ANCASH - 2025 - RESIDENTES EN LIMA.,https://www.youtube.com/watch?v=sj7RdPVIN6M&pp=ygU1Rmllc3RhIFBhdHJvbmFsIGRlbCBTZcOxb3IgZGUgQ2FodWNhecOhbiBBbmNhc2ggUGVyw7o%3D
Ancash,El Señor de la Soledad,HUARAZ: Todo sobre la festividad del Señor de la Soledad,https://www.youtube.com/watch?v=9ubhFE0FA3Y&pp=ygUkRWwgU2XDsW9yIGRlIGxhIFNvbGVkYWQgQW5jYXNoIFBlcsO6
Ancash,San Isidro,San Isidro ancash peru,https://www.youtube.com/watch?v=ML__6MJlZAY&pp=ygUXU2FuIElzaWRybyBBbmNhc2ggUGVyw7o%3D
Ancash,Corpus Christi,2. - Wanka Danza-Corpus Christi- Kenedy Dominguez Garay-San Marcos-Huari-Ancash 30/06/2017,https://www.youtube.com/watch?v=gVfzl09pUcM&pp=ygUbQ29ycHVzIENocmlzdGkgQW5jYXNoIFBlcsO6
Ancash,Fiesta de la Virgen Purísima,FIESTA DE TAYA PAROBAMBA ANCASH EN HOMENAJE A VIRGEN PURISIMA,https://www.youtube.com/watch?v=KTuqkTFIrFM&list=RDKTuqkTFIrFM&start_radio=1&pp=ygUqRmllc3RhIGRlIGxhIFZpcmdlbiBQdXLDrXNpbWEgQW5jYXNoIFBlcsO6oAcB
Ancash,San Antonio,"¡Así se vive el inicio de la fiesta en Bolognesi, Pallasca!",https://www.youtube.com/watch?v=4SJT3fsIkME&pp=ygUYU2FuIEFudG9uaW8gQW5jYXNoIFBlcsO6
Ancash,Fiesta de San Pedro,Fiestas de San Pedro | Celebra Perú,https://www.youtube.com/watch?v=KykRFdA45xc&pp=ygUgRmllc3RhIGRlIFNhbiBQZWRybyBBbmNhc2ggUGVyw7o%3D
Ancash,San Juan,FIESTA DE SAN JUAN Y SAN PEDRO. CHULLIN - SIHUAS - ANCASH. REPORTAJE 2023. MAS QUE VIAJES.,https://www.youtube.com/watch?v=ETu4OP5n6Mc&pp=ygUVU2FuIEp1YW4gQW5jYXNoIFBlcsO6
Ancash,Fiesta de San Juan,FIESTA DE SAN JUAN Y SAN PEDRO. CHULLIN - SIHUAS - ANCASH. REPORTAJE 2023. MAS QUE VIAJES.,https://www.youtube.com/watch?v=ETu4OP5n6Mc&pp=ygUfRmllc3RhIGRlIFNhbiBKdWFuIEFuY2FzaCBQZXLDug%3D%3D
