departamento,lugar_recomendado,descripcion,precio,duracion,url
Arequipa,Apartamento en Alto Selva Alegre,Malecón Arequipa,S/222,por 5 noches,https://www.airbnb.com.pe/rooms/1309266194033900560?search_mode=regular_search&adults=1&check_in=2025-07-17&check_out=2025-07-22&children=0&infants=0&pets=0&source_impression_id=p3_1752048165_P3qXTjCRVXBJdFOX&previous_page_section_name=1000&federated_search_id=65cccc83-c45f-4746-bdac-de5768a75bd6
Arequipa,Apartamento en Arequipa,Apartamento |chimenea & confort,S/790,por 5 noches,https://www.airbnb.com.pe/rooms/1426990849756410960?search_mode=regular_search&adults=1&check_in=2025-08-05&check_out=2025-08-10&children=0&infants=0&pets=0&source_impression_id=p3_1752048165_P3Jp5Ra84AAJnaxO&previous_page_section_name=1000&federated_search_id=65cccc83-c45f-4746-bdac-de5768a75bd6
Arequipa,Apartamento en Lima,Depa cómodo y bien ubicado. Arequipa,S/525,por 5 noches,https://www.airbnb.com.pe/rooms/1394567965625271862?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048165_P30xS_ULfub2T66J&previous_page_section_name=1000&federated_search_id=65cccc83-c45f-4746-bdac-de5768a75bd6
Arequipa,Apartamento en Sachaca,Apartamento en Arequipa,S/584,por 5 noches,https://www.airbnb.com.pe/rooms/1356051433868499128?search_mode=regular_search&adults=1&check_in=2025-08-04&check_out=2025-08-09&children=0&infants=0&pets=0&source_impression_id=p3_1752048165_P33wiu4tqlHtWuPp&previous_page_section_name=1000&federated_search_id=65cccc83-c45f-4746-bdac-de5768a75bd6
Arequipa,Apartamento en Arequipa,Céntrico Mini Departamento 3,S/377,,https://www.airbnb.com.pe/rooms/1118882160846266005?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048166_P3kdhppZyaFYtuou&previous_page_section_name=1000&federated_search_id=65cccc83-c45f-4746-bdac-de5768a75bd6
Arequipa,Hostal en Arequipa,Habitación amplia y hermosa,S/380,por 5 noches,https://www.airbnb.com.pe/rooms/720468230089855938?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048166_P3UamJ2ixVWEBhd8&previous_page_section_name=1000&federated_search_id=65cccc83-c45f-4746-bdac-de5768a75bd6
Arequipa,Apartamento en Cercado De Arequipa,Mini Apartamento con la mejor ubicación,S/549,,https://www.airbnb.com.pe/rooms/1352501815600410248?search_mode=regular_search&adults=1&check_in=2025-07-20&check_out=2025-07-25&children=0&infants=0&pets=0&source_impression_id=p3_1752048166_P3DTu5Cl02tCnhLi&previous_page_section_name=1000&federated_search_id=65cccc83-c45f-4746-bdac-de5768a75bd6
Arequipa,Apartamento en Arequipa,Departamento céntrico con vista a los volcanes,S/614,,https://www.airbnb.com.pe/rooms/669411113070259618?search_mode=regular_search&adults=1&check_in=2025-07-12&check_out=2025-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1752048166_P3FModPAe49RF85g&previous_page_section_name=1000&federated_search_id=65cccc83-c45f-4746-bdac-de5768a75bd6
Ayacucho,Alojamiento en Lima,Mini departamento en Las Flores,S/310,por 5 noches,https://www.airbnb.com.pe/rooms/1392700425859949213?search_mode=regular_search&adults=1&check_in=2025-07-21&check_out=2025-07-26&children=0&infants=0&pets=0&source_impression_id=p3_1752048177_P3y-nMJKUM368phv&previous_page_section_name=1000&federated_search_id=ebf2211e-acf9-4843-8d60-1e50e74e694c
Ayacucho,Apartamento en Rimac,Enbelle Home! ¡Exclusivo! Departamento + Parking,S/709,,https://www.airbnb.com.pe/rooms/1375600398925170133?search_mode=regular_search&adults=1&check_in=2025-07-17&check_out=2025-07-22&children=0&infants=0&pets=0&source_impression_id=p3_1752048180_P30v3CWaoHrs0C-e&previous_page_section_name=1000&federated_search_id=ebf2211e-acf9-4843-8d60-1e50e74e694c
